player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Fran Karačić,0,0,1.0,0,0,33.0,69.0,3,0,2.0,3,0.0,0,3.0,Australia
Francisco Calvo,0,0,2.0,2,0,86.0,121.0,1,1,7.0,6,1.0,0,2.0,Costa Rica
Fred,0,0,2.0,1,0,71.0,98.0,3,0,3.0,3,1.0,0,3.0,Brazil
Frenkie de Jong,1,1,5.0,1,0,323.0,408.0,2,0,12.0,4,4.0,0,3.0,Netherlands
Félix Torres Caicedo,0,1,3.0,0,0,168.0,233.0,1,0,2.0,1,0.0,0,10.0,Ecuador
Gabriel Jesus,0,0,1.0,0,0,22.0,39.0,2,0,2.0,1,0.0,0,0.0,Brazil
Garang Kuol,0,0,,0,0,3.0,10.0,1,0,0.0,1,0.0,0,0.0,Australia
Gareth Bale,1,0,3.0,1,0,33.0,68.0,1,2,1.0,2,4.0,0,1.0,Wales
Gavi,1,0,4.0,0,0,133.0,183.0,1,0,8.0,9,5.0,0,2.0,Spain
Gaël Ondoua,0,0,,0,0,17.0,25.0,0,0,2.0,2,1.0,0,0.0,Cameroon
Georges-Kévin N'Koudou,0,0,,0,0,9.0,20.0,1,0,0.0,1,2.0,0,0.0,Cameroon
Germán Pezzella,0,0,,1,0,42.0,47.0,1,0,0.0,2,0.0,0,0.0,Argentina
Gerson Torres,0,0,1.0,0,0,16.0,25.0,1,0,0.0,1,4.0,0,0.0,Costa Rica
Ghaylène Chaalali,0,0,,0,0,3.0,11.0,0,0,0.0,1,1.0,0,1.0,Tunisia
Gideon Mensah,0,1,1.0,0,0,36.0,59.0,0,0,1.0,0,1.0,0,5.0,Ghana
Gio Reyna,0,0,,0,0,26.0,42.0,2,0,0.0,0,1.0,0,0.0,United States
Giorgian De Arrascaeta,2,0,1.0,0,0,32.0,69.0,3,0,3.0,0,4.0,0,1.0,Uruguay
Gleison Bremer,0,0,1.0,0,0,78.0,95.0,1,0,1.0,2,0.0,0,6.0,Brazil
Gonzalo Montiel,0,0,1.0,3,0,69.0,95.0,1,1,3.0,4,2.0,0,1.0,Argentina
